signer34_sample1_color 62 133
signer34_sample2_color 69 61
signer34_sample3_color 53 32
signer34_sample4_color 63 169
signer34_sample5_color 64 77
signer34_sample6_color 66 131
signer34_sample7_color 46 114
signer34_sample8_color 53 143
signer34_sample9_color 57 135
signer34_sample10_color 38 194
signer34_sample11_color 67 23
signer34_sample12_color 59 95
signer34_sample13_color 65 57
signer34_sample14_color 68 131
signer34_sample15_color 57 47
signer34_sample16_color 53 26
signer34_sample17_color 41 113
signer34_sample18_color 45 212
signer34_sample19_color 75 219
signer34_sample20_color 39 210
signer34_sample21_color 53 142
signer34_sample22_color 58 44
signer34_sample23_color 54 62
signer34_sample24_color 63 189
signer34_sample25_color 52 114
signer34_sample26_color 51 161
signer34_sample27_color 66 182
signer34_sample28_color 62 123
signer34_sample29_color 47 55
signer34_sample30_color 47 209
signer34_sample31_color 38 86
signer34_sample32_color 50 32
signer34_sample33_color 57 146
signer34_sample34_color 49 111
signer34_sample35_color 63 13
signer34_sample36_color 49 218
signer34_sample37_color 61 178
signer34_sample38_color 55 200
signer34_sample39_color 51 14
signer34_sample40_color 57 48
signer34_sample41_color 50 212
signer34_sample42_color 61 35
signer34_sample43_color 52 208
signer34_sample44_color 36 220
signer34_sample45_color 37 37
signer34_sample46_color 63 119
signer34_sample47_color 73 4
signer34_sample48_color 57 179
signer34_sample49_color 58 168
signer34_sample50_color 47 153
signer34_sample51_color 37 120
signer34_sample52_color 67 9
signer34_sample53_color 59 185
signer34_sample54_color 60 210
signer34_sample55_color 58 164
signer34_sample56_color 55 221
signer34_sample57_color 52 92
signer34_sample58_color 39 216
signer34_sample59_color 44 110
signer34_sample60_color 59 205
signer34_sample61_color 50 96
signer34_sample62_color 70 41
signer34_sample63_color 53 143
signer34_sample64_color 59 216
signer34_sample65_color 52 184
signer34_sample66_color 50 209
signer34_sample67_color 54 150
signer34_sample68_color 41 202
signer34_sample69_color 48 126
signer34_sample70_color 35 155
signer34_sample71_color 66 5
signer34_sample72_color 65 184
signer34_sample73_color 37 116
signer34_sample74_color 67 61
signer34_sample75_color 62 211
signer34_sample76_color 63 69
signer34_sample77_color 56 85
signer34_sample78_color 43 39
signer34_sample79_color 63 22
signer34_sample80_color 59 49
signer34_sample81_color 52 37
signer34_sample82_color 69 74
signer34_sample83_color 55 202
signer34_sample84_color 59 170
signer34_sample85_color 47 162
signer34_sample86_color 48 148
signer34_sample87_color 54 153
signer34_sample88_color 54 73
signer34_sample89_color 59 160
signer34_sample90_color 69 67
signer34_sample91_color 49 128
signer34_sample92_color 59 204
signer34_sample93_color 30 100
signer34_sample94_color 55 155
signer34_sample95_color 64 3
signer34_sample96_color 39 223
signer34_sample97_color 56 94
signer34_sample98_color 83 159
signer34_sample99_color 60 8
signer34_sample100_color 58 65
signer34_sample101_color 52 65
signer34_sample102_color 45 99
signer34_sample103_color 58 221
signer34_sample104_color 58 92
signer34_sample105_color 63 58
signer34_sample106_color 56 124
signer34_sample107_color 56 53
signer34_sample108_color 57 88
signer34_sample109_color 71 176
